in s,C1 in V
-2.99272E-05,-1.83203E-02
-2.99272E-05,1.21094E-03
-2.99264E-05,-1.83203E-02
-2.99264E-05,2.07422E-02
-2.99256E-05,-2.80859E-02
-2.99256E-05,2.07422E-02
-2.99248E-05,-2.80859E-02
-2.99248E-05,1.21094E-03
-2.99240E-05,1.21094E-03
-2.99240E-05,2.07422E-02
-2.99232E-05,-2.80859E-02
-2.99232E-05,2.07422E-02
-2.99224E-05,-2.80859E-02
-2.99224E-05,1.09766E-02
-2.99216E-05,1.21094E-03
-2.99216E-05,1.09766E-02
-2.99208E-05,-1.83203E-02
-2.99208E-05,1.21094E-03
-2.99200E-05,-1.83203E-02
-2.99200E-05,1.21094E-03
-2.99192E-05,1.21094E-03
-2.99192E-05,1.21094E-03
-2.99184E-05,1.21094E-03
-2.99184E-05,3.05078E-02
-2.99176E-05,1.21094E-03
-2.99176E-05,3.05078E-02
-2.99168E-05,1.21094E-03
-2.99168E-05,1.21094E-03
-2.99160E-05,-2.80859E-02
-2.99160E-05,1.21094E-03
-2.99152E-05,-2.80859E-02
-2.99152E-05,1.09766E-02
-2.99144E-05,-1.83203E-02
-2.99144E-05,2.07422E-02
-2.99136E-05,-1.83203E-02
-2.99136E-05,2.07422E-02
-2.99128E-05,-8.55469E-03
-2.99128E-05,2.07422E-02
-2.99120E-05,-2.80859E-02
-2.99120E-05,1.21094E-03
-2.99112E-05,-2.80859E-02
-2.99112E-05,2.07422E-02
-2.99104E-05,-2.80859E-02
-2.99104E-05,2.07422E-02
-2.99096E-05,-2.80859E-02
-2.99096E-05,-8.55469E-03
-2.99088E-05,-2.80859E-02
-2.99088E-05,-8.55469E-03
-2.99080E-05,-2.80859E-02
-2.99080E-05,1.09766E-02
-2.99072E-05,-2.80859E-02
-2.99072E-05,1.09766E-02
-2.99064E-05,-3.78516E-02
-2.99064E-05,-8.55469E-03
-2.99056E-05,-3.78516E-02
-2.99056E-05,1.21094E-03
-2.99048E-05,-8.55469E-03
-2.99048E-05,2.07422E-02
-2.99040E-05,-1.83203E-02
-2.99040E-05,2.07422E-02
-2.99032E-05,-1.83203E-02
-2.99032E-05,2.07422E-02
-2.99024E-05,1.21094E-03
-2.99024E-05,3.05078E-02
-2.99016E-05,-8.55469E-03
-2.99016E-05,3.05078E-02
-2.99008E-05,-8.55469E-03
-2.99008E-05,1.21094E-03
-2.99000E-05,-1.83203E-02
-2.99000E-05,1.09766E-02
-2.98992E-05,-1.83203E-02
-2.98992E-05,2.07422E-02
-2.98984E-05,1.21094E-03
-2.98984E-05,2.07422E-02
-2.98976E-05,1.21094E-03
-2.98976E-05,1.09766E-02
-2.98968E-05,1.21094E-03
-2.98968E-05,1.09766E-02
-2.98960E-05,-8.55469E-03
-2.98960E-05,3.05078E-02
-2.98952E-05,-8.55469E-03
-2.98952E-05,3.05078E-02
-2.98944E-05,-8.55469E-03
-2.98944E-05,2.07422E-02
-2.98936E-05,-1.83203E-02
-2.98936E-05,1.09766E-02
-2.98928E-05,-1.83203E-02
-2.98928E-05,1.09766E-02
-2.98920E-05,-1.83203E-02
-2.98920E-05,1.21094E-03
-2.98912E-05,-1.83203E-02
-2.98912E-05,1.21094E-03
-2.98904E-05,-2.80859E-02
-2.98904E-05,-8.55469E-03
-2.98896E-05,-2.80859E-02
-2.98896E-05,-8.55469E-03
-2.98888E-05,-2.80859E-02
-2.98888E-05,1.21094E-03
-2.98880E-05,-3.78516E-02
-2.98880E-05,1.21094E-03
-2.98872E-05,-3.78516E-02
-2.98872E-05,1.21094E-03
-2.98864E-05,-8.55469E-03
-2.98864E-05,1.21094E-03
-2.98856E-05,-8.55469E-03
-2.98856E-05,2.07422E-02
-2.98848E-05,-1.83203E-02
-2.98848E-05,2.07422E-02
-2.98840E-05,-1.83203E-02
-2.98840E-05,1.09766E-02
-2.98832E-05,-1.83203E-02
-2.98832E-05,1.21094E-03
-2.98824E-05,1.21094E-03
-2.98824E-05,1.09766E-02
-2.98816E-05,-1.83203E-02
-2.98816E-05,2.07422E-02
-2.98808E-05,-1.83203E-02
-2.98808E-05,2.07422E-02
-2.98800E-05,-8.55469E-03
-2.98800E-05,1.09766E-02
-2.98792E-05,-8.55469E-03
-2.98792E-05,1.09766E-02
-2.98784E-05,-1.83203E-02
-2.98784E-05,1.09766E-02
-2.98776E-05,-2.80859E-02
-2.98776E-05,1.09766E-02
-2.98768E-05,-2.80859E-02
-2.98768E-05,1.21094E-03
-2.98760E-05,-8.55469E-03
-2.98760E-05,1.09766E-02
-2.98752E-05,-8.55469E-03
-2.98752E-05,1.09766E-02
-2.98744E-05,-2.80859E-02
-2.98744E-05,1.21094E-03
-2.98736E-05,-2.80859E-02
-2.98736E-05,1.21094E-03
-2.98728E-05,-1.83203E-02
-2.98728E-05,1.21094E-03
-2.98720E-05,-1.83203E-02
-2.98720E-05,1.21094E-03
-2.98712E-05,-1.83203E-02
-2.98712E-05,1.09766E-02
-2.98704E-05,1.21094E-03
-2.98704E-05,2.07422E-02
-2.98696E-05,-1.83203E-02
-2.98696E-05,2.07422E-02
-2.98688E-05,-1.83203E-02
-2.98688E-05,1.21094E-03
-2.98680E-05,-1.83203E-02
-2.98680E-05,1.21094E-03
-2.98672E-05,-2.80859E-02
-2.98672E-05,1.21094E-03
-2.98664E-05,-2.80859E-02
-2.98664E-05,1.09766E-02
-2.98656E-05,1.21094E-03
-2.98656E-05,1.09766E-02
-2.98648E-05,1.21094E-03
-2.98648E-05,1.21094E-03
-2.98640E-05,-8.55469E-03
-2.98640E-05,1.21094E-03
-2.98632E-05,-8.55469E-03
-2.98632E-05,1.09766E-02
-2.98624E-05,-8.55469E-03
-2.98624E-05,1.09766E-02
-2.98616E-05,-1.83203E-02
-2.98616E-05,1.21094E-03
-2.98608E-05,-1.83203E-02
-2.98608E-05,-8.55469E-03
-2.98600E-05,-1.83203E-02
-2.98600E-05,-8.55469E-03
-2.98592E-05,-1.83203E-02
-2.98592E-05,2.07422E-02
-2.98584E-05,-8.55469E-03
-2.98584E-05,2.07422E-02
-2.98576E-05,-2.80859E-02
-2.98576E-05,1.21094E-03
-2.98568E-05,-2.80859E-02
-2.98568E-05,1.21094E-03
-2.98560E-05,-8.55469E-03
-2.98560E-05,1.21094E-03
-2.98552E-05,-8.55469E-03
-2.98552E-05,2.07422E-02
-2.98544E-05,-8.55469E-03
-2.98544E-05,2.07422E-02
-2.98536E-05,-8.55469E-03
-2.98536E-05,1.21094E-03
-2.98528E-05,-3.78516E-02
-2.98528E-05,2.07422E-02
-2.98520E-05,-3.78516E-02
-2.98520E-05,2.07422E-02
