in s,C1 in V
-1.2000204E-02,-1.094055E-02
-1.2000020E-02,-1.551819E-02
-1.1999836E-02,-1.536560E-02
-1.1999652E-02,-1.872253E-02
-1.1999468E-02,-1.597595E-02
-1.1999284E-02,-1.643372E-02
-1.1999100E-02,-1.429749E-02
-1.1998916E-02,-1.506042E-02
-1.1998732E-02,-1.719666E-02
-1.1998548E-02,-1.460266E-02
-1.1998364E-02,-1.521301E-02
-1.1998180E-02,-1.475525E-02
-1.1997996E-02,-1.506042E-02
-1.1997812E-02,-1.475525E-02
-1.1997628E-02,-1.521301E-02
-1.1997444E-02,-1.307678E-02
-1.1997260E-02,-1.429749E-02
-1.1997076E-02,-1.277161E-02
-1.1996892E-02,-1.551819E-02
-1.1996708E-02,-1.368713E-02
-1.1996524E-02,-1.490784E-02
-1.1996340E-02,-1.490784E-02
-1.1996156E-02,-1.521301E-02
-1.1995972E-02,-1.475525E-02
-1.1995788E-02,-1.460266E-02
-1.1995604E-02,-1.353455E-02
-1.1995420E-02,-1.414490E-02
-1.1995236E-02,-1.445007E-02
-1.1995052E-02,-1.551819E-02
-1.1994868E-02,-1.445007E-02
-1.1994684E-02,-1.506042E-02
-1.1994500E-02,-1.597595E-02
-1.1994316E-02,-1.368713E-02
-1.1994132E-02,-1.780701E-02
-1.1993948E-02,-1.536560E-02
-1.1993764E-02,-1.536560E-02
-1.1993580E-02,-1.445007E-02
-1.1993396E-02,-1.414490E-02
-1.1993212E-02,-1.414490E-02
-1.1993028E-02,-1.597595E-02
-1.1992844E-02,-1.445007E-02
-1.1992660E-02,-1.750183E-02
-1.1992476E-02,-1.689148E-02
-1.1992292E-02,-1.643372E-02
-1.1992108E-02,-1.490784E-02
-1.1991924E-02,-1.475525E-02
-1.1991740E-02,-1.460266E-02
-1.1991556E-02,-1.475525E-02
-1.1991372E-02,-1.521301E-02
-1.1991188E-02,-1.445007E-02
-1.1991004E-02,-1.506042E-02
-1.1990820E-02,-1.567078E-02
-1.1990636E-02,-1.673889E-02
-1.1990452E-02,-1.536560E-02
-1.1990268E-02,-1.673889E-02
-1.1990084E-02,-1.582336E-02
-1.1989900E-02,-1.414490E-02
-1.1989716E-02,-1.597595E-02
-1.1989532E-02,-1.689148E-02
-1.1989348E-02,-1.368713E-02
-1.1989164E-02,-1.338196E-02
-1.1988980E-02,-1.460266E-02
-1.1988796E-02,-1.338196E-02
-1.1988612E-02,-1.338196E-02
-1.1988428E-02,-1.734924E-02
-1.1988244E-02,-1.628113E-02
-1.1988060E-02,-1.338196E-02
-1.1987876E-02,-1.597595E-02
-1.1987692E-02,-1.445007E-02
-1.1987508E-02,-1.277161E-02
-1.1987324E-02,-1.292419E-02
-1.1987140E-02,-1.567078E-02
-1.1986956E-02,-1.399231E-02
-1.1986772E-02,-1.277161E-02
-1.1986588E-02,-1.414490E-02
-1.1986404E-02,-1.185608E-02
-1.1986220E-02,-1.414490E-02
-1.1986036E-02,-1.139832E-02
-1.1985852E-02,-1.338196E-02
-1.1985668E-02,-1.445007E-02
-1.1985484E-02,-1.292419E-02
-1.1985300E-02,-1.155090E-02
-1.1985116E-02,-1.383972E-02
-1.1984932E-02,-1.292419E-02
-1.1984748E-02,-1.490784E-02
-1.1984564E-02,-1.490784E-02
-1.1984380E-02,-1.307678E-02
-1.1984196E-02,-1.445007E-02
-1.1984012E-02,-1.429749E-02
-1.1983828E-02,-1.414490E-02
-1.1983644E-02,-1.261902E-02
-1.1983460E-02,-1.139832E-02
-1.1983276E-02,-1.094055E-02
-1.1983092E-02,-1.551819E-02
-1.1982908E-02,-1.597595E-02
-1.1982724E-02,-1.475525E-02
-1.1982540E-02,-1.216125E-02
-1.1982356E-02,-1.536560E-02
-1.1982172E-02,-1.795959E-02
-1.1981988E-02,-1.551819E-02
-1.1981804E-02,-1.765442E-02
-1.1981620E-02,-1.551819E-02
-1.1981436E-02,-1.597595E-02
-1.1981252E-02,-1.261902E-02
-1.1981068E-02,-1.460266E-02
-1.1980884E-02,-1.506042E-02
-1.1980700E-02,-1.612854E-02
-1.1980516E-02,-1.475525E-02
-1.1980332E-02,-1.399231E-02
-1.1980148E-02,-1.551819E-02
-1.1979964E-02,-1.582336E-02
-1.1979780E-02,-1.383972E-02
-1.1979596E-02,-1.460266E-02
-1.1979412E-02,-1.399231E-02
-1.1979228E-02,-1.673889E-02
-1.1979044E-02,-1.429749E-02
-1.1978860E-02,-1.445007E-02
-1.1978676E-02,-1.460266E-02
-1.1978492E-02,-1.719666E-02
-1.1978308E-02,-1.414490E-02
-1.1978124E-02,-1.643372E-02
-1.1977940E-02,-1.521301E-02
-1.1977756E-02,-1.551819E-02
-1.1977572E-02,-1.628113E-02
-1.1977388E-02,-1.414490E-02
-1.1977204E-02,-1.567078E-02
-1.1977020E-02,-1.475525E-02
-1.1976836E-02,-1.429749E-02
-1.1976652E-02,-1.399231E-02
-1.1976468E-02,-1.490784E-02
-1.1976284E-02,-1.338196E-02
-1.1976100E-02,-1.536560E-02
-1.1975916E-02,-1.719666E-02
-1.1975732E-02,-1.445007E-02
-1.1975548E-02,-1.368713E-02
-1.1975364E-02,-1.246643E-02
-1.1975180E-02,-1.322937E-02
-1.1974996E-02,-1.185608E-02
-1.1974812E-02,-1.139832E-02
-1.1974628E-02,-1.292419E-02
-1.1974444E-02,-1.139832E-02
-1.1974260E-02,-1.231384E-02
-1.1974076E-02,-1.261902E-02
-1.1973892E-02,-1.139832E-02
-1.1973708E-02,-1.231384E-02
-1.1973524E-02,-1.490784E-02
-1.1973340E-02,-1.383972E-02
-1.1973156E-02,-1.368713E-02
-1.1972972E-02,-1.567078E-02
-1.1972788E-02,-1.628113E-02
-1.1972604E-02,-1.475525E-02
-1.1972420E-02,-1.612854E-02
-1.1972236E-02,-1.704407E-02
-1.1972052E-02,-1.445007E-02
-1.1971868E-02,-1.719666E-02
-1.1971684E-02,-1.292419E-02
-1.1971500E-02,-1.567078E-02
-1.1971316E-02,-1.490784E-02
-1.1971132E-02,-1.185608E-02
-1.1970948E-02,-1.429749E-02
